Estacao;Data;Hora;Velocidade do Vento Media;
83726;07/01/2014;0000;0.666667;
83726;08/01/2014;0000;0.666667;
83726;09/01/2014;0000;0.666667;
83726;10/01/2014;0000;1;
83726;11/01/2014;0000;0.666667;
83726;12/01/2014;0000;0.333333;
83726;13/01/2014;0000;1;
83726;14/01/2014;0000;1.666667;
83726;15/01/2014;0000;1;
83726;16/01/2014;0000;1.666667;
83726;17/01/2014;0000;1;
83726;18/01/2014;0000;1;
83726;19/01/2014;0000;1;
83726;20/01/2014;0000;0.333333;
83726;21/01/2014;0000;0.666667;
83726;22/01/2014;0000;1;
83726;23/01/2014;0000;0.666667;
83726;24/01/2014;0000;1.333333;
83726;25/01/2014;0000;1;
83726;26/01/2014;0000;0.333333;
83726;27/01/2014;0000;0.666667;
83726;28/01/2014;0000;0.333333;
83726;29/01/2014;0000;0.666667;
83726;30/01/2014;0000;0.666667;
83726;31/01/2014;0000;0.333333;
83726;01/02/2014;0000;1.333333;
83726;02/02/2014;0000;1;
83726;03/02/2014;0000;0.666667;
83726;04/02/2014;0000;1.333333;
83726;05/02/2014;0000;1;
83726;06/02/2014;0000;1.333333;
83726;07/02/2014;0000;1;
83726;08/02/2014;0000;1;
83726;09/02/2014;0000;0.333333;
83726;10/02/2014;0000;0.333333;
83726;11/02/2014;0000;0.666667;
83726;12/02/2014;0000;0.333333;
83726;13/02/2014;0000;0.666667;
83726;14/02/2014;0000;0.666667;
83726;15/02/2014;0000;0.666667;
83726;16/02/2014;0000;1.333333;
83726;17/02/2014;0000;1;
83726;18/02/2014;0000;1.333333;
83726;19/02/2014;0000;0.666667;
83726;20/02/2014;0000;0.333333;
83726;21/02/2014;0000;0.333333;
83726;22/02/2014;0000;0.333333;
83726;23/02/2014;0000;0.333333;
83726;24/02/2014;0000;1;
83726;25/02/2014;0000;1;
83726;26/02/2014;0000;1;
83726;27/02/2014;0000;0.666667;
83726;28/02/2014;0000;1;
83726;01/03/2014;0000;1.666667;
83726;02/03/2014;0000;1.333333;
83726;03/03/2014;0000;1.666667;
83726;04/03/2014;0000;1;
83726;05/03/2014;0000;0.666667;
83726;06/03/2014;0000;0.333333;
83726;07/03/2014;0000;0.666667;
83726;08/03/2014;0000;1;
83726;09/03/2014;0000;0.666667;
83726;10/03/2014;0000;0.666667;
83726;11/03/2014;0000;0.666667;
83726;12/03/2014;0000;1;
83726;13/03/2014;0000;1;
83726;14/03/2014;0000;0.666667;
83726;15/03/2014;0000;0.333333;
83726;16/03/2014;0000;0.333333;
83726;17/03/2014;0000;0.333333;
83726;18/03/2014;0000;0.666667;
83726;19/03/2014;0000;0;
83726;20/03/2014;0000;1;
83726;21/03/2014;0000;0.666667;
83726;22/03/2014;0000;0;
83726;23/03/2014;0000;2.333333;
83726;24/03/2014;0000;1.333333;
83726;25/03/2014;0000;1;
83726;26/03/2014;0000;1.333333;
83726;27/03/2014;0000;1;
83726;28/03/2014;0000;1;
83726;29/03/2014;0000;0.666667;
83726;30/03/2014;0000;0.666667;
83726;31/03/2014;0000;0.666667;
83726;01/04/2014;0000;2.333333;
83726;02/04/2014;0000;0.666667;
83726;03/04/2014;0000;2.333333;
83726;04/04/2014;0000;2.333333;
83726;05/04/2014;0000;1;
83726;06/04/2014;0000;1;
83726;07/04/2014;0000;0.666667;
83726;08/04/2014;0000;0;
83726;09/04/2014;0000;1;
83726;10/04/2014;0000;0.666667;
83726;11/04/2014;0000;0.666667;
83726;12/04/2014;0000;0.666667;
83726;13/04/2014;0000;0;
83726;14/04/2014;0000;2.666667;
83726;15/04/2014;0000;1;
83726;16/04/2014;0000;1;
83726;17/04/2014;0000;1;
83726;18/04/2014;0000;0.333333;
83726;19/04/2014;0000;0.666667;
83726;20/04/2014;0000;1.333333;
83726;21/04/2014;0000;1;
83726;22/04/2014;0000;1.666667;
83726;23/04/2014;0000;1;
83726;24/04/2014;0000;1.333333;
83726;25/04/2014;0000;1.666667;
83726;26/04/2014;0000;1.666667;
83726;27/04/2014;0000;2;
83726;28/04/2014;0000;1;
83726;29/04/2014;0000;1.333333;
83726;30/04/2014;0000;1.666667;
83726;01/05/2014;0000;1.02888;
83726;02/05/2014;0000;0.34296;
83726;03/05/2014;0000;0.34296;
83726;04/05/2014;0000;0.34296;
83726;05/05/2014;0000;1.02888;
83726;06/05/2014;0000;1.02888;
83726;07/05/2014;0000;1.02888;
83726;08/05/2014;0000;0.68592;
83726;09/05/2014;0000;2.05776;
83726;10/05/2014;0000;3.08664;
83726;11/05/2014;0000;1.7148;
83726;12/05/2014;0000;1.37184;
83726;13/05/2014;0000;0.34296;
83726;14/05/2014;0000;0.68592;
83726;15/05/2014;0000;0.34296;
83726;16/05/2014;0000;0.68592;
83726;17/05/2014;0000;1.02888;
83726;18/05/2014;0000;0.68592;
83726;19/05/2014;0000;1.02888;
83726;20/05/2014;0000;0.68592;
83726;21/05/2014;0000;1.37184;
83726;22/05/2014;0000;1.37184;
83726;23/05/2014;0000;1.02888;
83726;24/05/2014;0000;0.68592;
83726;25/05/2014;0000;1.02888;
83726;26/05/2014;0000;0.68592;
83726;27/05/2014;0000;0.34296;
83726;28/05/2014;0000;2.40072;
83726;29/05/2014;0000;1.37184;
83726;30/05/2014;0000;0.51444;
83726;31/05/2014;0000;1.37184;
83726;01/06/2014;0000;0.333333;
83726;02/06/2014;0000;0.333333;
83726;03/06/2014;0000;0;
83726;04/06/2014;0000;0.666667;
83726;05/06/2014;0000;0.366667;
83726;06/06/2014;0000;0.333333;
83726;07/06/2014;0000;0.333333;
